
perfix
  stops
    fragment size & $<$ 10 queries & $10 - 30$ queries & $30 - 50$ queries & $\ge$ 50 queries \\
    100 & 0.137 & 0.376 & 0.570 & 0.842 \\ 
    500 & 0.184 & 0.538 & 0.715 & 0.880 \\ 
    1000 & 0.230 & 0.575 & 0.789 & 0.893 \\ 
  streets
    fragment size & $<$ 10 queries & $10 - 30$ queries & $30 - 50$ queries & $\ge$ 50 queries \\
    100 & 0.172 & 0.557 & 0.588 & 0.687 \\ 
    500 & 0.275 & 0.639 & 0.725 & 0.737 \\ 
    1000 & 0.282 & 0.647 & 0.725 & 0.754 \\ 

btree
  stops
    fragment size & $<$ 10 queries & $10 - 30$ queries & $30 - 50$ queries & $\ge$ 50 queries \\
    100 & 0.074 & 0.257 & 0.512 & 0.757 \\ 
    500 & 0.219 & 0.535 & 0.800 & 0.831 \\ 
    1000 & 0.264 & 0.618 & 0.834 & 0.859 \\ 
  streets
    fragment size & $<$ 10 queries & $10 - 30$ queries & $30 - 50$ queries & $\ge$ 50 queries \\
    100 & 0.102 & 0.374 & 0.540 & 0.682 \\ 
    500 & 0.288 & 0.514 & 0.681 & 0.725 \\ 
    1000 & 0.313 & 0.613 & 0.579 & 0.855 \\ 
