server cache hits, server cache misses, client cache hits, client cache misses, bandwith
0,2,0,2,26107
0,3,0,3,45350
0,3,0,3,45350
0,3,0,3,45350
0,3,0,3,45350
0,4,1,4,62829
0,5,1,5,79517
1,6,1,7,104293
1,7,1,8,115631
1,7,1,8,115631
2,7,2,9,133109
3,7,3,10,153106
3,8,3,11,170007
3,9,3,12,180062
3,9,3,12,180062
3,9,3,12,180062
3,9,3,12,180062
3,9,3,12,180062
3,9,3,12,180062
3,9,3,12,180062
5,9,3,14,203648
5,10,3,15,222219
5,10,5,15,222219
6,10,5,16,238906
7,10,6,17,257573
7,10,6,17,257573
7,10,6,17,257573
7,10,6,17,257573
7,10,6,17,257573
7,10,6,17,257573
7,10,6,17,257573
7,10,8,17,257573
7,10,9,17,257573
8,11,9,19,282715
8,12,9,20,299709
8,13,9,21,315027
8,14,9,22,327203
8,15,10,23,343657
9,16,10,25,368474
9,17,10,26,382882
9,17,10,26,382882
9,17,10,26,382882
9,17,10,26,382882
9,18,11,27,396060
9,19,11,28,412885
9,19,11,28,412885
9,19,11,28,412885
9,19,11,28,412885
10,20,11,30,439290
10,21,11,31,455403
10,22,12,32,468181
10,23,12,33,484246
10,23,12,33,484246
10,23,14,33,484246
10,23,16,33,484246
10,23,16,33,484246
10,23,16,33,484246
10,23,16,33,484246
10,24,17,34,497513
10,25,17,35,511379
10,25,17,35,511379
10,25,19,35,511379
10,25,20,35,511379
10,25,22,35,511379
10,25,22,35,511379
10,25,22,35,511379
10,25,24,35,511379
10,25,24,35,511379
10,25,24,35,511379
10,25,24,35,511379
10,25,24,35,511379
10,25,26,35,511379
10,25,26,35,511379
10,25,26,35,511379
10,25,26,35,511379
11,26,26,37,531315
12,26,27,38,548793
14,26,27,40,572379
15,26,27,41,590949
15,26,27,41,590949
15,26,27,41,590949
17,26,27,43,617054
19,26,27,45,636428
19,27,27,46,649255
19,27,27,46,649255
19,27,27,46,649255
19,27,29,46,649255
19,27,29,46,649255
19,27,29,46,649255
19,27,29,46,649255
19,27,29,46,649255
19,27,29,46,649255
20,27,30,47,663082
20,28,30,48,679885
20,28,30,48,679885
20,28,30,48,679885
22,28,30,50,706289
22,29,30,51,716483
22,29,30,51,716483
22,29,30,51,716483
22,29,30,51,716483
24,29,30,53,742588
25,29,30,54,759488
26,29,31,55,778155
27,29,31,56,789492
27,29,31,56,789492
27,29,31,56,789492
29,29,31,58,805654
29,29,33,58,805654
29,29,35,58,805654
29,29,37,58,805654
29,29,39,58,805654
29,29,41,58,805654
30,29,42,59,822554
30,29,44,59,822554
30,29,46,59,822554
30,29,48,59,822554
30,29,50,59,822554
30,29,52,59,822554
30,29,54,59,822554
31,29,55,60,842551
32,29,56,61,859004
32,30,56,62,875947
32,31,56,63,888371
34,31,56,65,911957
35,31,56,66,930527
35,31,56,66,930527
35,31,56,66,930527
35,31,58,66,930527
35,32,59,67,947104
35,33,59,68,955965
35,34,59,69,968396
35,34,59,69,968396
35,34,59,69,968396
37,34,59,71,991982
38,34,59,72,1008669
38,34,59,72,1008669
38,34,59,72,1008669
39,34,60,73,1022496
39,35,60,74,1039031
39,36,60,75,1052661
41,36,60,77,1076247
42,36,60,78,1092934
42,36,60,78,1092934
42,36,60,78,1092934
43,36,61,79,1106761
44,36,61,80,1123295
45,36,61,81,1136924
45,36,61,81,1136924
47,36,61,83,1161699
47,36,61,83,1161699
47,36,63,83,1161699
47,36,63,83,1161699
47,36,63,83,1161699
47,36,63,83,1161699
47,36,63,83,1161699
48,36,64,84,1174476
48,36,66,84,1174476
48,36,66,84,1174476
48,36,68,84,1174476
48,36,68,84,1174476
48,36,70,84,1174476
48,36,70,84,1174476
48,36,70,84,1174476
48,36,72,84,1174476
48,37,73,85,1189844
50,37,73,87,1216248
50,38,73,88,1233854
51,38,74,89,1253851
52,38,74,90,1270751
53,38,74,91,1280805
53,38,74,91,1280805
53,38,74,91,1280805
53,38,74,91,1280805
53,38,74,91,1280805
53,38,74,91,1280805
53,38,74,91,1280805
53,38,76,91,1280805
53,38,77,91,1280805
53,38,78,91,1280805
53,38,78,91,1280805
53,38,78,91,1280805
53,38,78,91,1280805
53,38,78,91,1280805
53,38,78,91,1280805
53,38,78,91,1280805
55,38,78,93,1296967
57,38,78,95,1316902
58,38,78,96,1333436
59,38,79,97,1347065
59,38,81,97,1347065
59,39,82,98,1363700
59,40,82,99,1378048
59,41,82,100,1389276
59,41,84,100,1389276
61,41,84,102,1412862
62,41,85,103,1429549
62,41,87,103,1429549
62,41,89,103,1429549
62,41,91,103,1429549
62,41,93,103,1429549
62,41,95,103,1429549
62,41,97,103,1429549
62,41,97,103,1429549
62,41,97,103,1429549
62,41,97,103,1429549
62,41,97,103,1429549
63,41,98,104,1449546
63,42,98,105,1460964
64,43,98,107,1486482
64,44,98,108,1503560
64,44,98,108,1503560
64,44,98,108,1503560
65,44,99,109,1520502
66,44,100,110,1532925
66,44,100,110,1532925
66,44,100,110,1532925
68,44,100,112,1556511
69,44,100,113,1573198
70,44,101,114,1589832
70,45,101,115,1604559
70,45,101,115,1604559
70,45,101,115,1604559
71,45,102,116,1623592
71,45,104,116,1623592
71,45,105,116,1623592
71,45,105,116,1623592
71,45,105,116,1623592
73,45,105,118,1642123
74,45,106,119,1659065
74,46,107,120,1668453
74,46,107,120,1668453
74,46,107,120,1668453
74,46,109,120,1668453
74,46,111,120,1668453
74,46,113,120,1668453
76,46,113,122,1694558
76,47,114,123,1714474
78,47,114,125,1737269
78,47,116,125,1737269
78,47,118,125,1737269
78,47,120,125,1737269
78,47,122,125,1737269
78,47,124,125,1737269
78,47,126,125,1737269
78,47,128,125,1737269
78,47,130,125,1737269
78,47,132,125,1737269
78,47,134,125,1737269
78,47,136,125,1737269
78,47,138,125,1737269
78,47,140,125,1737269
78,47,142,125,1737269
78,47,144,125,1737269
78,47,146,125,1737269
78,47,148,125,1737269
78,47,150,125,1737269
78,47,152,125,1737269
78,47,154,125,1737269
78,47,156,125,1737269
80,47,156,127,1760855
81,47,156,128,1777542
82,47,157,129,1794176
83,47,157,130,1808902
83,47,159,130,1808902
83,47,160,130,1808902
83,47,162,130,1808902
83,47,163,130,1808902
85,47,163,132,1831644
85,48,163,133,1846054
85,49,163,134,1862709
85,49,165,134,1862709
85,49,165,134,1862709
85,49,167,134,1862709
85,49,168,134,1862709
85,49,169,134,1862709
85,49,169,134,1862709
85,49,171,134,1862709
86,49,172,135,1880187
87,49,172,136,1896874
89,49,172,138,1919616
90,49,172,139,1934342
90,49,172,139,1934342
90,49,172,139,1934342
92,49,172,141,1954277
93,49,172,142,1970811
94,49,172,143,1984440
94,50,173,144,2000229
94,51,173,145,2020738
94,51,173,145,2020738
94,51,173,145,2020738
94,51,173,145,2020738
94,51,173,145,2020738
96,51,173,147,2040673
97,51,173,148,2057207
98,51,173,149,2070836
99,51,174,150,2087470
100,51,174,151,2101817
101,51,174,152,2113044
101,51,174,152,2113044
101,51,174,152,2113044
101,51,174,152,2113044
101,51,176,152,2113044
101,51,176,152,2113044
103,51,176,154,2134940
104,51,176,155,2155448
104,51,176,155,2155448
104,51,176,155,2155448
104,52,177,156,2172153
104,52,177,156,2172153
104,52,177,156,2172153
104,52,177,156,2172153
104,52,179,156,2172153
104,52,179,156,2172153
104,52,179,156,2172153
104,52,181,156,2172153
104,52,181,156,2172153
104,52,183,156,2172153
104,52,185,156,2172153
104,52,185,156,2172153
104,52,185,156,2172153
104,52,185,156,2172153
106,52,185,158,2192088
107,52,185,159,2208622
108,52,185,160,2222251
109,52,186,161,2238885
110,52,186,162,2253611
110,52,186,162,2253611
112,52,186,164,2278386
112,52,186,164,2278386
112,52,186,164,2278386
112,52,186,164,2278386
112,52,186,164,2278386
112,52,186,164,2278386
113,52,187,165,2295864
114,52,187,166,2312551
116,52,187,168,2337692
117,52,187,169,2354685
118,52,187,170,2370002
119,52,187,171,2382177
120,52,188,172,2398811
121,52,188,173,2413220
122,52,188,174,2429874
122,52,190,174,2429874
122,52,192,174,2429874
122,52,194,174,2429874
123,53,194,176,2449547
124,53,194,177,2462324
124,53,194,177,2462324
124,53,194,177,2462324
125,53,195,178,2478958
126,53,195,179,2493684
127,53,196,180,2511162
127,54,196,181,2524982
129,54,196,183,2547777
129,54,198,183,2547777
129,54,200,183,2547777
129,54,202,183,2547777
129,54,204,183,2547777
129,54,206,183,2547777
129,54,208,183,2547777
129,54,210,183,2547777
129,54,212,183,2547777
129,54,214,183,2547777
129,54,216,183,2547777
129,54,218,183,2547777
129,54,220,183,2547777
129,54,222,183,2547777
129,54,224,183,2547777
129,54,226,183,2547777
129,54,228,183,2547777
129,54,230,183,2547777
129,54,232,183,2547777
129,54,234,183,2547777
129,54,236,183,2547777
129,54,238,183,2547777
129,54,240,183,2547777
129,54,242,183,2547777
129,54,244,183,2547777
130,54,245,184,2565255
130,54,247,184,2565255
131,54,248,185,2579074
131,55,248,186,2594921
131,56,250,187,2611821
131,56,253,187,2611821
131,56,255,187,2611821
131,56,256,187,2611821
131,56,256,187,2611821
131,56,256,187,2611821
131,56,258,187,2611821
133,56,258,189,2636962
133,56,258,189,2636962
133,56,258,189,2636962
134,56,259,190,2653538
135,56,259,191,2662398
136,56,259,192,2674828
136,56,259,192,2674828
136,56,259,192,2674828
136,56,259,192,2674828
136,56,259,192,2674828
138,56,259,194,2697570
139,56,259,195,2711979
140,56,259,196,2726705
141,56,260,197,2744183
143,56,260,199,2766978
145,56,260,201,2790564
146,56,260,202,2809134
147,56,261,203,2828167
147,56,263,203,2828167
148,56,263,204,2844854
150,56,263,206,2870959
152,56,263,208,2907101
152,56,263,208,2907101
154,56,263,210,2930687
155,56,264,211,2947374
155,56,266,211,2947374
155,56,268,211,2947374
156,56,269,212,2964008
157,56,269,213,2978417
158,56,269,214,2995071
158,56,271,214,2995071
160,56,271,216,3021475
162,56,271,218,3045061
