server cache hits, server cache misses, client cache hits, client cache misses, bandwith
0,2,0,2,7161
0,3,0,3,10851
0,4,0,4,12654
0,4,0,4,12654
0,4,0,4,12654
0,6,1,6,19106
0,7,1,7,21759
0,8,1,8,24205
1,10,1,11,31726
1,11,1,12,36570
1,11,1,12,36570
3,11,2,14,43020
4,11,2,15,45672
5,11,3,16,49417
5,12,3,17,53745
5,14,3,19,59961
5,14,3,19,59961
5,14,3,19,59961
5,14,3,19,59961
5,14,3,19,59961
5,14,3,19,59961
8,14,3,22,69825
8,14,3,22,69825
9,14,5,23,72477
10,14,5,24,74922
10,15,5,25,77457
12,15,6,27,81562
12,16,6,28,84751
12,16,6,28,84751
12,16,6,28,84751
12,16,6,28,84751
12,16,6,28,84751
12,16,6,28,84751
12,16,6,28,84751
12,16,9,28,84751
12,16,10,28,84751
12,16,11,28,84751
12,16,12,28,84751
13,17,12,30,91060
13,18,12,31,95805
13,19,12,32,98803
13,22,12,35,107086
13,23,13,36,111570
13,24,13,37,113367
13,25,13,38,116837
14,26,13,40,123365
14,27,13,41,127914
14,28,13,42,131340
14,28,13,42,131340
14,28,13,42,131340
14,29,14,43,134614
14,30,14,44,139911
14,31,14,45,143323
14,31,14,45,143323
14,31,14,45,143323
14,31,14,45,143323
15,32,14,47,151162
15,33,14,48,156325
15,34,14,49,160086
15,35,15,50,162245
15,36,15,51,165976
15,38,15,53,170720
15,38,15,53,170720
15,38,20,53,170720
15,38,25,53,170720
15,38,25,53,170720
15,38,25,53,170720
15,38,25,53,170720
15,39,26,54,173892
15,39,26,54,173892
15,39,26,54,173892
15,39,28,54,173892
15,39,28,54,173892
15,40,30,55,178560
15,41,30,56,181496
15,41,30,56,181496
15,41,34,56,181496
15,41,34,56,181496
15,41,34,56,181496
15,41,34,56,181496
15,41,34,56,181496
15,41,36,56,181496
15,41,36,56,181496
15,41,36,56,181496
15,41,36,56,181496
16,42,36,58,187890
18,42,37,60,194340
21,42,37,63,204204
21,42,37,63,204204
21,42,37,63,204204
21,42,37,63,204204
22,42,37,64,207618
24,42,37,66,214203
24,43,37,67,218967
24,44,37,68,221662
24,45,37,69,225311
24,45,37,69,225311
24,45,42,69,225311
24,45,42,69,225311
24,45,42,69,225311
24,45,42,69,225311
24,45,42,69,225311
24,45,42,69,225311
25,45,43,70,228290
25,45,43,70,228290
25,45,43,70,228290
25,45,43,70,228290
26,46,43,72,236314
26,47,43,73,238891
26,48,43,74,242639
26,48,43,74,242639
26,48,43,74,242639
28,48,43,76,249798
29,48,43,77,254125
31,48,44,79,258230
32,48,44,80,263073
32,48,44,80,263073
32,48,44,80,263073
37,48,44,85,280773
37,48,49,85,280773
37,48,54,85,280773
37,48,59,85,280773
37,48,64,85,280773
37,48,67,85,280773
37,48,70,85,280773
37,48,75,85,280773
37,48,80,85,280773
37,48,85,85,280773
37,48,90,85,280773
37,48,95,85,280773
37,48,100,85,280773
37,48,102,85,280773
38,48,103,86,285256
38,49,103,87,287390
38,50,103,88,291555
38,50,103,88,291555
41,50,103,91,301419
41,51,103,92,306309
41,52,103,93,309805
41,52,103,93,309805
41,52,107,93,309805
41,53,108,94,312791
41,54,108,95,316187
41,55,108,96,319180
41,55,108,96,319180
41,55,108,96,319180
44,55,108,99,329044
45,55,108,100,331696
46,55,108,101,334141
46,56,108,102,337671
46,59,108,105,346820
46,59,108,105,346820
47,59,109,106,349799
47,60,109,107,354378
47,61,109,108,357847
47,62,109,109,361356
50,62,109,112,371220
51,62,109,113,373872
52,62,109,114,376317
53,62,109,115,379846
56,62,109,118,388992
56,62,109,118,388992
57,62,110,119,391971
58,62,110,120,396549
59,62,110,121,400017
60,62,110,122,403525
60,64,110,124,410789
61,64,110,125,414203
61,64,110,125,414203
61,64,111,125,414203
61,64,111,125,414203
61,64,111,125,414203
61,64,111,125,414203
61,64,111,125,414203
64,64,112,128,422693
64,64,113,128,422693
64,64,113,128,422693
64,64,114,128,422693
64,64,114,128,422693
64,64,115,128,422693
64,64,115,128,422693
64,64,115,128,422693
64,64,116,128,422693
65,68,117,133,439918
67,68,117,135,447756
67,69,117,136,452500
67,70,117,137,456203
68,70,118,138,459948
69,70,118,139,464275
71,70,118,141,470489
71,70,118,141,470489
71,70,118,141,470489
71,70,118,141,470489
71,70,118,141,470489
71,70,118,141,470489
71,70,120,141,470489
71,70,121,141,470489
71,70,123,141,470489
71,70,123,141,470489
71,70,123,141,470489
71,70,123,141,470489
71,70,123,141,470489
71,70,123,141,470489
74,70,123,144,481975
76,70,123,146,488368
77,70,123,147,492946
79,70,126,149,499922
79,70,130,149,499922
79,71,131,150,502762
79,72,131,151,507443
79,73,131,152,510929
79,76,131,155,519873
79,76,138,155,519873
82,76,138,158,529737
84,77,140,161,536511
84,77,145,161,536511
84,77,148,161,536511
84,77,153,161,536511
84,77,157,161,536511
84,77,162,161,536511
84,77,167,161,536511
85,77,167,162,540001
85,77,167,162,540001
85,77,167,162,540001
85,77,167,162,540001
86,77,168,163,543746
86,78,168,164,546722
87,79,168,166,552990
87,80,168,167,557400
87,81,168,168,560013
87,81,168,168,560013
90,81,169,171,570793
90,81,173,171,570793
90,81,173,171,570793
90,81,173,171,570793
93,81,173,174,580657
94,81,173,175,583309
95,81,173,176,585754
96,81,173,177,588288
97,81,174,178,591127
97,82,174,179,595653
97,83,174,180,597894
97,85,174,182,603710
97,85,174,182,603710
97,85,174,182,603710
98,85,175,183,606604
98,85,177,183,606604
98,85,178,183,606604
98,85,179,183,606604
98,85,181,183,606604
98,85,181,183,606604
98,85,181,183,606604
102,85,181,187,620798
102,85,185,187,620798
103,86,186,189,627037
103,87,186,190,629680
103,88,186,191,633630
103,88,186,191,633630
103,88,191,191,633630
103,88,196,191,633630
103,88,201,191,633630
105,88,201,193,640789
105,95,202,200,661389
111,95,202,206,677385
111,95,208,206,677385
111,95,214,206,677385
111,95,220,206,677385
111,95,226,206,677385
111,95,232,206,677385
111,95,238,206,677385
111,95,244,206,677385
111,95,250,206,677385
111,95,256,206,677385
111,95,262,206,677385
111,95,268,206,677385
111,95,274,206,677385
111,95,280,206,677385
111,95,285,206,677385
111,95,291,206,677385
111,95,297,206,677385
111,95,303,206,677385
111,95,309,206,677385
111,95,315,206,677385
111,95,320,206,677385
111,95,325,206,677385
114,95,325,209,687249
115,95,325,210,689901
116,95,325,211,692346
117,95,325,212,694022
118,95,326,213,696861
119,95,326,214,701386
120,95,326,215,703626
122,95,326,217,709440
122,95,329,217,709440
122,95,330,217,709440
122,95,331,217,709440
122,95,332,217,709440
122,95,334,217,709440
122,95,335,217,709440
122,95,336,217,709440
122,95,338,217,709440
124,95,338,219,715693
124,96,338,220,720040
124,97,338,221,722337
124,100,338,224,731960
124,100,345,224,731960
124,100,345,224,731960
124,100,347,224,731960
124,100,348,224,731960
124,100,349,224,731960
124,100,352,224,731960
124,100,352,224,731960
124,100,359,224,731960
126,100,360,226,738410
127,100,360,227,741062
128,100,360,228,743507
129,100,360,229,746041
132,100,360,232,756819
133,100,360,233,759059
135,100,360,235,764873
135,100,360,235,764873
135,100,360,235,764873
137,100,360,237,771266
138,100,360,238,775844
139,100,360,239,779312
140,100,360,240,782820
140,101,361,241,786095
140,102,361,242,790712
140,103,361,243,794027
140,104,361,244,798650
140,104,361,244,798650
140,104,361,244,798650
140,104,361,244,798650
140,104,361,244,798650
142,104,361,246,805043
143,104,361,247,809621
144,104,361,248,813089
145,104,361,249,816597
146,104,362,250,819436
147,104,362,251,824116
148,104,362,252,827601
151,104,362,255,836542
151,104,362,255,836542
151,104,362,255,836542
151,104,362,255,836542
151,104,369,255,836542
151,104,369,255,836542
153,104,369,257,843230
154,104,369,258,847846
154,104,369,258,847846
154,104,369,258,847846
154,105,370,259,852099
154,106,370,260,856365
154,107,370,261,858629
154,107,370,261,858629
154,107,370,261,858629
154,107,374,261,858629
154,107,374,261,858629
154,107,374,261,858629
154,107,378,261,858629
154,107,378,261,858629
154,107,382,261,858629
154,107,386,261,858629
154,107,386,261,858629
154,107,386,261,858629
154,107,386,261,858629
156,107,386,263,865022
157,107,386,264,869600
158,107,386,265,873068
159,107,386,266,876576
160,107,387,267,879415
161,107,387,268,883940
162,107,387,269,886180
164,107,387,271,891994
164,107,387,271,891994
167,107,387,274,899513
168,107,387,275,902701
168,107,387,275,902701
168,107,387,275,902701
168,107,387,275,902701
168,107,387,275,902701
168,107,387,275,902701
170,107,388,277,909151
171,107,388,278,911803
172,107,388,279,914248
173,107,388,280,916782
175,107,388,282,923090
176,107,388,283,927834
177,107,388,284,930831
179,108,388,287,938430
180,108,389,288,941269
181,108,389,289,945615
182,108,389,290,947911
185,108,393,293,957531
185,108,400,293,957531
185,108,407,293,957531
186,109,407,295,965557
186,110,407,296,967063
186,110,407,296,967063
186,110,407,296,967063
187,110,408,297,969902
188,110,408,298,974427
189,110,408,299,976667
191,110,408,301,982481
193,110,409,303,988931
193,110,409,303,988931
199,110,409,309,1004927
199,110,415,309,1004927
199,110,421,309,1004927
199,110,427,309,1004927
199,110,433,309,1004927
199,110,439,309,1004927
199,110,445,309,1004927
199,110,451,309,1004927
199,110,457,309,1004927
199,110,463,309,1004927
199,110,469,309,1004927
199,110,475,309,1004927
199,110,481,309,1004927
199,110,487,309,1004927
199,110,493,309,1004927
199,110,499,309,1004927
199,110,505,309,1004927
199,110,511,309,1004927
199,110,517,309,1004927
199,110,522,309,1004927
199,110,527,309,1004927
199,110,532,309,1004927
199,110,537,309,1004927
199,110,542,309,1004927
199,110,546,309,1004927
199,110,549,309,1004927
200,110,551,310,1009916
200,111,552,311,1014308
200,115,552,315,1019876
200,115,558,315,1019876
200,115,564,315,1019876
200,115,570,315,1019876
200,116,570,316,1023454
200,116,570,316,1023454
200,116,577,316,1023454
202,116,577,318,1029762
202,117,577,319,1033671
202,118,577,320,1035913
202,119,577,321,1039387
202,119,577,321,1039387
203,119,578,322,1042372
204,119,578,323,1045767
204,120,578,324,1049594
205,120,578,325,1052586
205,120,578,325,1052586
205,120,578,325,1052586
205,120,578,325,1052586
207,120,578,327,1058839
207,121,578,328,1062862
207,123,578,330,1067166
209,123,579,332,1073616
210,123,579,333,1076268
214,123,579,337,1086240
215,123,579,338,1089769
