server cache hits, server cache misses, client cache hits, client cache misses, bandwith
0,2,0,2,45697
0,3,1,3,84091
1,5,1,6,144059
1,5,3,6,144059
1,5,5,6,144059
1,5,5,6,144059
1,6,6,7,177544
1,7,6,8,199144
1,7,6,8,199144
1,7,6,8,199144
1,8,7,9,240083
1,9,8,10,274568
1,9,10,10,274568
1,10,11,11,298068
1,10,11,11,298068
1,10,11,11,298068
1,10,11,11,298068
1,10,11,11,298068
1,10,11,11,298068
1,11,12,12,326920
1,12,13,13,369440
2,12,14,14,407833
2,13,14,15,429568
2,13,14,15,429568
2,13,14,15,429568
2,13,16,15,429568
2,14,17,16,447952
2,14,17,16,447952
2,14,19,16,447952
2,15,20,17,488226
2,16,20,18,510950
2,16,20,18,510950
2,16,20,18,510950
2,16,20,18,510950
4,16,20,20,557672
4,17,20,21,593498
5,17,22,22,616221
5,17,22,22,616221
5,17,22,22,616221
7,17,22,24,650694
8,17,22,25,676187
8,17,22,25,676187
8,17,22,25,676187
10,17,22,27,721029
10,18,23,28,756134
10,19,23,29,793827
11,20,23,31,839157
13,20,23,33,884486
13,20,25,33,884486
14,20,26,34,906220
14,21,27,35,934035
15,22,27,37,978463
15,22,29,37,978463
17,22,29,39,1023305
17,23,29,40,1060938
17,23,29,40,1060938
17,23,29,40,1060938
17,23,29,40,1060938
17,23,29,40,1060938
17,23,29,40,1060938
17,23,29,40,1060938
18,24,29,42,1099507
18,25,29,43,1118472
18,25,31,43,1118472
18,25,31,43,1118472
18,25,31,43,1118472
18,25,31,43,1118472
18,25,31,43,1118472
18,25,31,43,1118472
18,25,31,43,1118472
18,25,33,43,1118472
18,26,34,44,1150951
19,26,35,45,1186047
19,27,35,46,1206959
19,28,35,47,1228311
21,28,35,49,1262784
21,29,35,50,1304437
21,29,35,50,1304437
21,29,35,50,1304437
21,29,35,50,1304437
21,29,35,50,1304437
23,29,35,52,1336379
24,29,37,53,1364403
24,29,39,53,1364403
24,29,41,53,1364403
25,29,42,54,1404676
26,29,42,55,1440501
27,29,43,56,1461412
27,29,43,56,1461412
27,29,43,56,1461412
27,29,45,56,1461412
27,29,45,56,1461412
27,29,47,56,1461412
27,29,49,56,1461412
27,29,49,56,1461412
27,29,49,56,1461412
27,29,51,56,1461412
27,29,53,56,1461412
27,29,54,56,1461412
28,29,54,57,1484135
28,29,57,57,1484135
28,29,59,57,1484135
28,29,61,57,1484135
29,29,62,58,1519231
29,29,64,58,1519231
29,29,66,58,1519231
29,29,68,58,1519231
29,29,70,58,1519231
29,29,71,58,1519231
29,29,72,58,1519231
29,29,74,58,1519231
29,29,76,58,1519231
29,29,77,58,1519231
29,29,78,58,1519231
29,29,80,58,1519231
29,29,82,58,1519231
29,30,83,59,1549711
29,30,85,59,1549711
29,30,85,59,1549711
29,30,85,59,1549711
29,30,85,59,1549711
29,30,85,59,1549711
29,30,85,59,1549711
30,31,85,61,1588082
31,31,86,62,1609816
32,31,87,63,1637630
32,31,89,63,1637630
32,31,91,63,1637630
32,32,92,64,1667272
33,33,92,66,1716226
33,34,93,67,1734555
33,34,93,67,1734555
33,34,95,67,1734555
33,34,95,67,1734555
33,34,95,67,1734555
33,34,95,67,1734555
33,34,95,67,1734555
33,34,95,67,1734555
33,34,95,67,1734555
33,34,95,67,1734555
33,34,95,67,1734555
35,34,95,69,1769855
35,35,96,70,1804395
35,35,98,70,1804395
35,35,99,70,1804395
35,35,101,70,1804395
35,35,101,70,1804395
35,35,101,70,1804395
35,35,101,70,1804395
35,35,101,70,1804395
37,35,101,72,1838868
38,35,101,73,1864361
38,35,101,73,1864361
38,35,101,73,1864361
38,35,103,73,1864361
38,35,104,73,1864361
38,35,104,73,1864361
38,35,104,73,1864361
40,35,104,75,1889138
41,35,105,76,1931642
41,35,107,76,1931642
41,35,107,76,1931642
41,35,107,76,1931642
41,35,107,76,1931642
41,35,107,76,1931642
41,35,107,76,1931642
41,35,107,76,1931642
41,35,107,76,1931642
41,35,107,76,1931642
41,35,107,76,1931642
41,35,107,76,1931642
41,36,108,77,1968393
42,36,108,78,2000307
42,36,110,78,2000307
42,36,112,78,2000307
42,36,112,78,2000307
42,36,114,78,2000307
42,36,115,78,2000307
43,36,116,79,2042826
43,37,116,80,2073464
43,37,118,80,2073464
43,37,120,80,2073464
43,37,120,80,2073464
43,37,120,80,2073464
43,37,122,80,2073464
43,37,123,80,2073464
43,37,125,80,2073464
43,37,125,80,2073464
43,37,125,80,2073464
44,37,126,81,2115968
45,37,126,82,2134296
45,37,128,82,2134296
45,37,128,82,2134296
45,37,128,82,2134296
45,37,130,82,2134296
45,37,132,82,2134296
46,37,133,83,2172689
48,37,133,85,2197466
49,37,134,86,2239970
49,37,136,86,2239970
49,37,136,86,2239970
50,37,137,87,2275066
51,37,137,88,2295977
52,37,137,89,2317328
54,37,137,91,2362170
56,37,137,93,2407012
57,37,138,94,2446258
57,37,138,94,2446258
59,37,138,96,2491953
60,37,139,97,2531199
60,37,139,97,2531199
62,37,139,99,2576894
62,37,139,99,2576894
63,38,139,101,2615396
