server cache hits, server cache misses, client cache hits, client cache misses, bandwith
0,3,0,3,15312
0,6,1,6,29465
0,7,1,7,31993
1,9,1,10,46740
1,10,1,11,51302
1,10,3,11,51302
1,11,7,12,53630
1,11,7,12,53630
1,12,8,13,57962
1,13,8,14,62197
1,14,8,15,67274
1,14,8,15,67274
1,14,8,15,67274
1,15,9,16,72678
1,16,11,17,78124
1,18,11,19,84476
1,20,16,21,87691
1,22,16,23,94080
1,23,24,24,98904
1,32,24,33,123583
1,32,24,33,123583
1,32,24,33,123583
1,32,24,33,123583
1,32,24,33,123583
1,33,25,34,125924
1,34,25,35,130609
1,36,25,37,137223
1,37,26,38,142268
2,37,27,39,147876
2,38,27,40,151000
2,39,27,41,154963
2,40,27,42,158448
2,40,27,42,158448
2,40,27,42,158448
2,40,29,42,158448
2,40,30,42,158448
2,40,32,42,158448
2,41,33,43,159996
2,41,33,43,159996
2,41,35,43,159996
2,41,36,43,159996
2,41,38,43,159996
2,42,39,44,165373
2,43,39,45,170790
2,43,39,45,170790
2,43,39,45,170790
2,43,39,45,170790
4,43,39,47,182287
4,44,39,48,186569
4,45,42,49,189769
4,45,42,49,189769
4,45,42,49,189769
6,45,42,51,199929
7,45,42,52,204514
8,45,42,53,209075
9,45,42,54,211402
9,45,42,54,211402
11,45,42,56,223131
12,45,42,57,228362
13,45,42,58,231673
14,45,42,59,234200
14,46,43,60,237702
14,48,43,62,244337
14,49,43,63,248688
15,50,43,65,257348
17,54,43,71,278873
17,56,49,73,284882
19,57,50,76,296762
19,59,50,78,303397
19,59,56,78,303397
20,62,56,82,323757
20,62,60,82,323757
22,62,60,84,335486
23,62,60,85,340717
23,63,60,86,344666
23,63,60,86,344666
23,63,60,86,344666
23,63,60,86,344666
23,63,60,86,344666
23,63,60,86,344666
23,63,60,86,344666
24,64,60,88,356589
24,65,60,89,358917
24,66,60,90,363939
24,69,64,93,368613
24,70,64,94,373323
24,71,64,95,375103
24,71,64,95,375103
24,71,64,95,375103
24,71,64,95,375103
24,71,64,95,375103
24,71,64,95,375103
24,71,72,95,375103
24,72,73,96,379446
25,72,74,97,382947
25,73,74,98,388364
25,73,74,98,388364
27,73,74,100,398524
27,74,74,101,403550
27,75,74,102,406627
28,75,74,103,408954
28,75,74,103,408954
28,75,74,103,408954
28,75,74,103,408954
33,75,74,108,430587
33,75,77,108,430587
33,75,78,108,430587
33,75,83,108,430587
33,75,85,108,430587
34,75,86,109,435963
35,75,86,110,440244
37,76,87,113,453874
37,76,87,113,453874
37,76,87,113,453874
37,76,91,113,453874
37,76,91,113,453874
37,76,94,113,453874
37,76,98,113,453874
37,76,98,113,453874
37,76,98,113,453874
37,76,101,113,453874
37,76,102,113,453874
37,76,104,113,453874
37,76,105,113,453874
38,76,105,114,457073
38,76,109,114,457073
38,76,113,114,457073
38,76,117,114,457073
38,76,119,114,457073
38,76,123,114,457073
38,76,125,114,457073
38,76,129,114,457073
38,76,131,114,457073
38,76,132,114,457073
38,76,133,114,457073
38,76,137,114,457073
38,76,139,114,457073
38,76,140,114,457073
38,76,141,114,457073
38,76,145,114,457073
38,76,149,114,457073
38,78,150,116,461053
38,81,150,119,467329
38,81,156,119,467329
38,81,156,119,467329
38,81,156,119,467329
38,81,156,119,467329
38,81,156,119,467329
38,81,156,119,467329
39,84,156,123,487561
44,85,157,129,510537
44,86,164,130,513405
44,86,167,130,513405
44,86,175,130,513405
45,88,176,133,525801
46,89,176,135,537206
46,90,176,136,542416
46,91,179,137,546010
46,91,179,137,546010
46,91,183,137,546010
46,91,183,137,546010
46,91,183,137,546010
46,91,183,137,546010
46,91,183,137,546010
46,91,183,137,546010
46,91,183,137,546010
46,91,183,137,546010
46,91,183,137,546010
51,91,183,142,565767
52,93,184,145,577441
52,93,186,145,577441
52,93,187,145,577441
52,93,191,145,577441
52,93,192,145,577441
52,93,192,145,577441
52,93,192,145,577441
52,93,192,145,577441
54,93,192,147,587601
55,93,192,148,592186
56,93,192,149,596747
57,93,192,150,599074
57,93,192,150,599074
57,93,194,150,599074
57,93,195,150,599074
57,93,196,150,599074
57,93,197,150,599074
57,93,197,150,599074
61,93,197,154,619280
61,93,199,154,619280
61,93,200,154,619280
61,93,204,154,619280
61,93,204,154,619280
61,93,204,154,619280
61,93,204,154,619280
61,93,204,154,619280
61,93,204,154,619280
61,93,204,154,619280
61,93,204,154,619280
61,93,204,154,619280
61,93,204,154,619280
61,93,204,154,619280
61,94,205,155,624202
61,94,205,155,624202
61,94,207,155,624202
61,94,208,155,624202
61,94,212,155,624202
61,94,212,155,624202
61,94,214,155,624202
61,94,214,155,624202
62,94,215,156,629246
62,95,215,157,633532
62,96,215,158,638189
62,98,219,160,643457
62,99,225,161,646413
62,99,225,161,646413
62,99,225,161,646413
62,99,227,161,646413
62,99,228,161,646413
62,99,232,161,646413
62,99,233,161,646413
62,99,233,161,646413
63,99,234,162,651696
64,99,234,163,656905
65,99,234,164,660498
65,99,238,164,660498
65,99,238,164,660498
65,99,238,164,660498
65,99,242,164,660498
65,99,246,164,660498
66,99,247,165,666106
67,99,247,166,671337
68,99,247,167,674648
69,99,247,168,677175
73,99,247,172,697381
73,99,249,172,697381
73,99,250,172,697381
73,99,254,172,697381
73,99,254,172,697381
74,99,255,173,700882
75,99,255,174,706298
75,99,255,174,706298
77,99,255,176,718027
78,99,255,177,723258
79,99,255,178,726569
81,99,255,180,738298
82,99,256,181,742746
83,99,256,182,747486
83,99,256,182,747486
86,99,256,185,762795
87,99,257,186,767243
88,99,257,187,771983
88,99,257,187,771983
90,99,257,189,782552
91,99,257,190,787292
91,99,257,190,787292
93,100,257,193,800134
