Memory  Disk  CPU\n
3.00% 77% 0.52%
3.01% 77% 0.52%
3.01% 77% 0.48%
3.02% 77% 0.48%
3.01% 77% 0.48%
3.02% 77% 0.48%
3.03% 77% 0.48%
3.04% 77% 0.44%
3.05% 77% 0.44%
3.06% 77% 0.44%
3.05% 77% 0.44%
3.05% 77% 0.41%
3.05% 77% 0.41%
3.05% 77% 0.41%
3.05% 77% 0.41%
3.05% 77% 0.54%
3.06% 77% 0.54%
3.06% 77% 0.54%
3.06% 77% 0.54%
3.05% 77% 0.54%
3.06% 77% 0.49%
3.06% 77% 0.49%
3.07% 77% 0.49%
3.06% 77% 0.49%
3.06% 77% 0.45%
3.07% 77% 0.45%
3.07% 77% 0.45%
3.07% 77% 0.45%
3.07% 77% 0.58%
3.07% 77% 0.58%
3.07% 77% 0.58%
3.07% 77% 0.58%
3.09% 77% 0.61%
3.09% 77% 0.61%
3.08% 77% 0.61%
3.07% 77% 0.61%
3.08% 77% 0.61%
3.08% 77% 0.64%
3.08% 77% 0.64%
3.08% 77% 0.64%
3.08% 77% 0.64%
3.09% 77% 0.67%
3.09% 77% 0.67%
3.09% 77% 0.67%
3.09% 77% 0.67%
3.09% 77% 0.62%
3.09% 77% 0.62%
3.09% 77% 0.62%
3.09% 77% 0.62%
3.10% 77% 0.62%
3.09% 77% 0.65%
3.09% 77% 0.65%
3.10% 77% 0.65%
3.09% 77% 0.65%
3.10% 77% 0.60%
3.10% 77% 0.60%
3.10% 77% 0.60%
3.10% 77% 0.60%
3.09% 77% 0.55%
3.10% 77% 0.55%
3.10% 77% 0.55%
3.10% 77% 0.55%
3.10% 77% 0.55%
3.10% 77% 0.50%
3.09% 77% 0.50%
3.10% 77% 0.50%
3.09% 77% 0.50%
3.09% 77% 0.46%
3.10% 77% 0.46%
3.09% 77% 0.46%
3.10% 77% 0.46%
3.10% 77% 0.51%
3.10% 77% 0.51%
3.10% 77% 0.51%
3.10% 77% 0.51%
3.09% 77% 0.47%
3.10% 77% 0.47%
3.10% 77% 0.47%
3.10% 77% 0.47%
3.09% 77% 0.47%
3.09% 77% 0.43%
3.10% 77% 0.43%
3.10% 77% 0.43%
3.09% 77% 0.43%
3.10% 77% 0.39%
3.10% 77% 0.39%
3.10% 77% 0.39%
3.10% 77% 0.39%
3.10% 77% 0.44%
3.10% 77% 0.44%
3.10% 77% 0.44%
3.10% 77% 0.44%
3.10% 77% 0.44%
3.10% 77% 0.41%
3.10% 77% 0.41%
3.09% 77% 0.41%
3.10% 77% 0.41%
3.09% 77% 0.37%
3.09% 77% 0.37%
3.09% 77% 0.37%
3.09% 77% 0.37%
3.09% 77% 0.42%
